self,4,4,4,1,3,5,2,4,3,3,3,3,2,3
4,self,4,4,3,3,5,3,4,3,3,3,3,2,4
4,4,self,4,1,3,5,3,4,3,3,3,3,2,2
4,4,4,self,3,3,2,3,1,1,2,2,2,2,3
1,3,1,3,self,3,1,2,1,1,2,3,2,3,4
3,3,3,3,3,self,1,2,1,1,2,3,1,2,3
5,5,5,2,1,1,self,1,3,2,1,3,2,3,2
2,3,3,3,2,2,1,self,2,1,2,4,2,2,2
4,4,4,1,1,1,3,2,self,1,1,2,1,1,1
3,3,3,1,1,1,2,1,1,self,2,3,1,1,1
3,3,3,2,2,2,1,2,1,2,self,3,3,1,1
3,3,3,2,3,3,3,4,2,3,3,self,3,3,3
3,3,3,2,2,1,2,2,1,1,3,3,self,1,1
2,2,2,2,3,2,3,2,1,1,1,3,1,self,3
3,4,2,3,4,3,2,2,1,1,1,3,1,3,self
